last_name,first_name,group,level,step,start_date,end_date,work_hours,work_days,hourly_rate,annual_rate,salary
Allison,Chris,EC,7,3,2018-01-01,2018-06-21,930.0,124.0,56.66,110913.0,52694.3
Allison,Chris,EC,7,3,2018-06-22,2018-06-21,0.0,0.0,57.11,111800.0,0.0
Allison,Chris,EC,7,3,2018-06-22,2018-08-01,217.5,29.0,58.26,114036.0,12670.67
Allison,Chris,EC,7,4,2018-01-01,2018-06-21,930.0,124.0,59.24,115962.0,55093.06
Allison,Chris,EC,7,4,2018-06-22,2018-06-21,0.0,0.0,59.71,116890.0,0.0
Allison,Chris,EC,7,4,2018-06-22,2019-06-21,1957.5,261.0,60.91,119228.0,119228.0
Allison,Chris,EC,7,4,2019-06-22,2019-06-21,0.0,0.0,61.03,119466.0,0.0
Allison,Chris,EC,7,4,2019-06-22,2019-08-01,217.5,29.0,62.25,121855.0,13539.44
Allison,Chris,EC,7,5,2019-08-01,2020-06-21,1740.0,232.0,64.4,126059.0,112052.44
Allison,Chris,EC,7,5,2020-06-22,2020-08-01,225.0,30.0,65.36,127950.0,14706.9
Allison,Chris,EC,8,1,2020-08-01,2021-04-01,1305.0,174.0,61.9,121173.0,80782.0
